---,DataID,CharacterName,Description,Grade,AttackType,ClassType,HPMultiplier,AttackMultiplier,DefenseMultiplier,CharacterTexture,SkillIDs,CharacterMesh,AnimBlueprintClass,DeathMontage,NormalAttackMontage,BehaviorTree,SummonCost,SummonCooldown,PortraitIcon,MemberAbilities,PlayerBasicAttackAbility,HitMontage,PlayerScale,MemberScale,MemberWeaponID,PortraitFrame
11,Binder_SR,Binder,"NSLOCTEXT(""DT"", ""Binder_SR"", ""諛붿씤??SR?깃툒"")",SR,MELEE,WARRIOR,2.7,1.6,2.7,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Binder.Icon_Binder,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Binder/SKM_Binder_Base.SKM_Binder_Base,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/ABP_Binder.ABP_Binder_C,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Dead_Montage.Binder_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Attack_Montage.Binder_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Binder.Icon_Binder,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Binder.GA_Attack_Binder_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Binder.GA_Attack_Binder_C',/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Demage_Montage.Binder_Base_Demage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
12,Binder_SSR,Binder,"NSLOCTEXT(""DT"", ""Binder_SSR"", ""諛붿씤??SSR?깃툒"")",SSR,MELEE,WARRIOR,4.1,2.5,4.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Binder.Icon_Binder,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Binder/SKM_Binder_Base.SKM_Binder_Base,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/ABP_Binder.ABP_Binder_C,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Dead_Montage.Binder_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Attack_Montage.Binder_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Binder.Icon_Binder,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Binder.GA_Attack_Binder_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Binder.GA_Attack_Binder_C',/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Demage_Montage.Binder_Base_Demage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
13,Demonia_N,Demonia,"NSLOCTEXT(""DT"", ""Demonia_N"", ""?곕え?덉븘 N?깃툒"")",N,MELEE,WARRIOR,1.3,0.8,1.3,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Demonia.Icon_Demonia,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Demonia/SKM_Demonia_Base.SKM_Demonia_Base,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/ABP_Demonia.ABP_Demonia_C,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_Dead_Montage.Demonia_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_ChargeAttack_Montage.Demonia_Base_ChargeAttack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Demonia.Icon_Demonia,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Demonia.GA_Attack_Demonia_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Demonia.GA_Attack_Demonia_C',/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_Damage_Montage.Demonia_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
14,Demonia_R,Demonia,"NSLOCTEXT(""DT"", ""Demonia_R"", ""?곕え?덉븘 R?깃툒"")",R,MELEE,WARRIOR,1.8,1.1,1.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Demonia.Icon_Demonia,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Demonia/SKM_Demonia_Base.SKM_Demonia_Base,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/ABP_Demonia.ABP_Demonia_C,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_Dead_Montage.Demonia_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_ChargeAttack_Montage.Demonia_Base_ChargeAttack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Demonia.Icon_Demonia,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Demonia.GA_Attack_Demonia_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Demonia.GA_Attack_Demonia_C',/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_Damage_Montage.Demonia_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
15,Demonia_SR,Demonia,"NSLOCTEXT(""DT"", ""Demonia_SR"", ""?곕え?덉븘 SR?깃툒"")",SR,MELEE,WARRIOR,2.7,1.6,2.7,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Demonia.Icon_Demonia,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Demonia/SKM_Demonia_Base.SKM_Demonia_Base,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/ABP_Demonia.ABP_Demonia_C,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_Dead_Montage.Demonia_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_ChargeAttack_Montage.Demonia_Base_ChargeAttack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Demonia.Icon_Demonia,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Demonia.GA_Attack_Demonia_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Demonia.GA_Attack_Demonia_C',/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_Damage_Montage.Demonia_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
16,Demonia_SSR,Demonia,"NSLOCTEXT(""DT"", ""Demonia_SSR"", ""?곕え?덉븘 SSR?깃툒"")",SSR,MELEE,WARRIOR,4.1,2.5,4.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Demonia.Icon_Demonia,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Demonia/SKM_Demonia_Base.SKM_Demonia_Base,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/ABP_Demonia.ABP_Demonia_C,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_Dead_Montage.Demonia_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_ChargeAttack_Montage.Demonia_Base_ChargeAttack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Demonia.Icon_Demonia,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Demonia.GA_Attack_Demonia_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Demonia.GA_Attack_Demonia_C',/Game/Blueprint/PlayerCharacter/ABP/06_Demonia/Demonia_Base_Damage_Montage.Demonia_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
17,Enchanter_N,Enchanter,"NSLOCTEXT(""DT"", ""Enchanter_N"", ""?몄콌??N?깃툒"")",N,RANGED,ARCHER,1,1,1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Enchanter.Icon_Enchanter,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Enchanter/SKM_Enchanter_Base.SKM_Enchanter_Base,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/ABP_Enchanter.ABP_Enchanter_C,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Dead_Anim_Take_001_Montage.Enchanter_Base_Dead_Anim_Take_001_Montage,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Attack2_Anim_Take_001_Montage.Enchanter_Base_Attack2_Anim_Take_001_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Enchanter.Icon_Enchanter,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Enchanter.GA_Attack_Enchanter_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Enchanter.GA_Attack_Enchanter_C',/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Attacked_Anim_Take_001_Montage.Enchanter_Base_Attacked_Anim_Take_001_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
18,Enchanter_R,Enchanter,"NSLOCTEXT(""DT"", ""Enchanter_R"", ""?몄콌??R?깃툒"")",R,RANGED,ARCHER,1.4,1.4,1.4,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Enchanter.Icon_Enchanter,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Enchanter/SKM_Enchanter_Base.SKM_Enchanter_Base,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/ABP_Enchanter.ABP_Enchanter_C,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Dead_Anim_Take_001_Montage.Enchanter_Base_Dead_Anim_Take_001_Montage,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Attack2_Anim_Take_001_Montage.Enchanter_Base_Attack2_Anim_Take_001_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Enchanter.Icon_Enchanter,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Enchanter.GA_Attack_Enchanter_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Enchanter.GA_Attack_Enchanter_C',/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Attacked_Anim_Take_001_Montage.Enchanter_Base_Attacked_Anim_Take_001_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
19,Enchanter_SR,Enchanter,"NSLOCTEXT(""DT"", ""Enchanter_SR"", ""?몄콌??SR?깃툒"")",SR,RANGED,ARCHER,2.1,2.1,2.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Enchanter.Icon_Enchanter,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Enchanter/SKM_Enchanter_Base.SKM_Enchanter_Base,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/ABP_Enchanter.ABP_Enchanter_C,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Dead_Anim_Take_001_Montage.Enchanter_Base_Dead_Anim_Take_001_Montage,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Attack2_Anim_Take_001_Montage.Enchanter_Base_Attack2_Anim_Take_001_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Enchanter.Icon_Enchanter,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Enchanter.GA_Attack_Enchanter_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Enchanter.GA_Attack_Enchanter_C',/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Attacked_Anim_Take_001_Montage.Enchanter_Base_Attacked_Anim_Take_001_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
20,Enchanter_SSR,Enchanter,"NSLOCTEXT(""DT"", ""Enchanter_SSR"", ""?몄콌??SSR?깃툒"")",SSR,RANGED,ARCHER,3.2,3.2,3.2,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Enchanter.Icon_Enchanter,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Enchanter/SKM_Enchanter_Base.SKM_Enchanter_Base,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/ABP_Enchanter.ABP_Enchanter_C,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Dead_Anim_Take_001_Montage.Enchanter_Base_Dead_Anim_Take_001_Montage,/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Attack2_Anim_Take_001_Montage.Enchanter_Base_Attack2_Anim_Take_001_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Enchanter.Icon_Enchanter,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Enchanter.GA_Attack_Enchanter_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Enchanter.GA_Attack_Enchanter_C',/Game/Blueprint/PlayerCharacter/ABP/07_Enchanter/Enchanter_Base_Attacked_Anim_Take_001_Montage.Enchanter_Base_Attacked_Anim_Take_001_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
21,Guard_N,Guard,"NSLOCTEXT(""DT"", ""Guard_N"", ""媛??N?깃툒"")",N,RANGED,ARCHER,1,1,1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Guard.Icon_Guard,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Guard/SKM_Guard_Base.SKM_Guard_Base,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/ABP_Guard.ABP_Guard_C,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Dead_Montage.Guard_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Attack_Montage.Guard_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Guard.Icon_Guard,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Guard.GA_Attack_Guard_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Guard.GA_Attack_Guard_C',/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Damage_Montage.Guard_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
22,Guard_R,Guard,"NSLOCTEXT(""DT"", ""Guard_R"", ""媛??R?깃툒"")",R,RANGED,ARCHER,1.4,1.4,1.4,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Guard.Icon_Guard,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Guard/SKM_Guard_Base.SKM_Guard_Base,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/ABP_Guard.ABP_Guard_C,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Dead_Montage.Guard_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Attack_Montage.Guard_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Guard.Icon_Guard,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Guard.GA_Attack_Guard_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Guard.GA_Attack_Guard_C',/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Damage_Montage.Guard_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
23,Guard_SR,Guard,"NSLOCTEXT(""DT"", ""Guard_SR"", ""媛??SR?깃툒"")",SR,RANGED,ARCHER,2.1,2.1,2.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Guard.Icon_Guard,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Guard/SKM_Guard_Base.SKM_Guard_Base,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/ABP_Guard.ABP_Guard_C,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Dead_Montage.Guard_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Attack_Montage.Guard_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Guard.Icon_Guard,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Guard.GA_Attack_Guard_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Guard.GA_Attack_Guard_C',/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Damage_Montage.Guard_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
24,Guard_SSR,Guard,"NSLOCTEXT(""DT"", ""Guard_SSR"", ""媛??SSR?깃툒"")",SSR,RANGED,ARCHER,3.2,3.2,3.2,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Guard.Icon_Guard,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Guard/SKM_Guard_Base.SKM_Guard_Base,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/ABP_Guard.ABP_Guard_C,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Dead_Montage.Guard_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Attack_Montage.Guard_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Guard.Icon_Guard,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Guard.GA_Attack_Guard_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Guard.GA_Attack_Guard_C',/Game/Blueprint/PlayerCharacter/ABP/08_Guard/Guard_Base_Damage_Montage.Guard_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
25,Hermit_N,Hermit,"NSLOCTEXT(""DT"", ""Hermit_N"", ""?덈컠 N?깃툒"")",N,RANGED,ARCHER,1,1,1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Hermit.Icon_Hermit,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Hermit/SKM_Hermit_Base.SKM_Hermit_Base,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/ABP_Hermit.ABP_Hermit_C,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_Dead_Anim_Hermit_Dead_Montage.Hermit_Base_Dead_Anim_Hermit_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_ChargeAttack_Anim_Take_001_Montage.Hermit_Base_ChargeAttack_Anim_Take_001_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hermit.Icon_Hermit,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hermit.GA_Attack_Hermit_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hermit.GA_Attack_Hermit_C',/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_Damage_Anim_Hermit_Attacked_Montage.Hermit_Base_Damage_Anim_Hermit_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
26,Hermit_R,Hermit,"NSLOCTEXT(""DT"", ""Hermit_R"", ""?덈컠 R?깃툒"")",R,RANGED,ARCHER,1.4,1.4,1.4,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Hermit.Icon_Hermit,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Hermit/SKM_Hermit_Base.SKM_Hermit_Base,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/ABP_Hermit.ABP_Hermit_C,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_Dead_Anim_Hermit_Dead_Montage.Hermit_Base_Dead_Anim_Hermit_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_ChargeAttack_Anim_Take_001_Montage.Hermit_Base_ChargeAttack_Anim_Take_001_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hermit.Icon_Hermit,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hermit.GA_Attack_Hermit_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hermit.GA_Attack_Hermit_C',/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_Damage_Anim_Hermit_Attacked_Montage.Hermit_Base_Damage_Anim_Hermit_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
