---,DataID,EquipmentName,Description,EquipmentMesh,Grade,ItemType,SetType,EquipmentTexture,SkillIDs
11,EQUIP_BLUNT_11,Wrench,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""11_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Tuner/SM_Blunt_Tuner.SM_Blunt_Tuner,N,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_PIERCE"")"
12,EQUIP_ETC_01,Flag,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""12_Description"", ""Unique gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Noble/SM_Blunt_Nobel.SM_Blunt_Nobel,SSR,MELEE,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_SSR.Icon_WeaponSelectTicket_SSR,"(""SKILL_ARROW"")"
13,EQUIP_ETC_02,Hammer,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""13_Description"", ""Epic gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Devilbat/SM_Blunt_Devilbat.SM_Blunt_Devilbat,N,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_LIGHTNING"")"
14,EQUIP_STAFF_01,Anubis,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""14_Description"", ""Elite gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Tuner/SM_Blunt_Tuner.SM_Blunt_Tuner,N,RANGED,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_FIREBALL"")"
15,EQUIP_STAFF_02,Binder,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""15_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Devilbat/SM_Blunt_Devilbat.SM_Blunt_Devilbat,N,RANGED,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_ICEBALL"")"
16,EQUIP_STAFF_03,Deathmatch,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""16_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_7.SM_7,N,RANGED,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_LIGHTNING"")"
17,EQUIP_STAFF_04,Decanter,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""17_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Merry/SM_Blunt_Merry.SM_Blunt_Merry,N,RANGED,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_HOMING_ARROW"")"
18,EQUIP_STAFF_05,DefaultStaff,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""18_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Noble/SM_Blunt_Nobel.SM_Blunt_Nobel,SR,RANGED,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_SR.Icon_WeaponRandomTicket_SR,"(""SKILL_ICEBALL"")"
19,EQUIP_STAFF_06,EventStaff,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""19_Description"", ""Unique gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Wrench/SM_Blunt_Wrench.SM_Blunt_Wrench,SSR,RANGED,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_SSR.Icon_WeaponSelectTicket_SSR,"(""SKILL_FIREBALL"")"
20,EQUIP_STAFF_07,GazeOfDragon,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""20_Description"", ""Epic gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Tuner/SM_Blunt_Tuner.SM_Blunt_Tuner,N,RANGED,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_LIGHTNING"")"
21,EQUIP_STAFF_08,Initiator,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""21_Description"", ""Unique gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Devilbat/SM_Blunt_Devilbat.SM_Blunt_Devilbat,N,RANGED,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_HOMING_ARROW"")"
22,EQUIP_STAFF_09,OneStroke,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""22_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_6.SM_6,UR,RANGED,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_UR.Icon_WeaponRandomTicket_UR,"(""SKILL_LIGHTNING"")"
23,EQUIP_STAFF_10,OverTheHorizon,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""23_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Merry/SM_Blunt_Merry.SM_Blunt_Merry,N,RANGED,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_ICEBALL"")"
24,EQUIP_STAFF_11,StandUp,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""24_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_7.SM_7,SR,RANGED,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_SR.Icon_WeaponRandomTicket_SR,"(""SKILL_ARROW"")"
25,EQUIP_STAFF_12,Wintercane,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""25_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Devilbat/SM_Blunt_Devilbat.SM_Blunt_Devilbat,SSR,RANGED,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_SSR.Icon_WeaponSelectTicket_SSR,"(""SKILL_HOMING_ARROW"")"
26,EQUIP_SWORD_01,BeamSword,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""26_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_6.SM_6,N,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_ICEBALL"")"
27,EQUIP_SWORD_02,Butterslayer,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""27_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Wrench/SM_Blunt_Wrench.SM_Blunt_Wrench,R,MELEE,ICE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_R.Icon_WeaponSelectTicket_R,"(""SKILL_ARROW"")"
28,EQUIP_SWORD_03,Carver,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""28_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Tuner/SM_Blunt_Tuner.SM_Blunt_Tuner,SSR,MELEE,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_SSR.Icon_WeaponSelectTicket_SSR,"(""SKILL_FIREBALL"")"
29,EQUIP_SWORD_04,ChainSword,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""29_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Merry/SM_Blunt_Merry.SM_Blunt_Merry,N,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_ICEBALL"")"
30,EQUIP_SWORD_05,DefaultSword,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""30_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_5.SM_5,N,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_LIGHTNING"")"
31,EQUIP_SWORD_06,EventSword,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""31_Description"", ""Elite gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_8.SM_8,UR,MELEE,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_UR.Icon_WeaponRandomTicket_UR,"(""SKILL_ARROW"")"
32,EQUIP_SWORD_07,HornetBlade,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""32_Description"", ""Legendary gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Wrench/SM_Blunt_Wrench.SM_Blunt_Wrench,R,MELEE,ICE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_R.Icon_WeaponSelectTicket_R,"(""SKILL_HOMING_ARROW"")"
33,EQUIP_SWORD_08,Ironmaid,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""33_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Devilbat/SM_Blunt_Devilbat.SM_Blunt_Devilbat,N,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_ICEBALL"")"
34,EQUIP_SWORD_09,Justice,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""34_Description"", ""Elite gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Noble/SM_Blunt_Nobel.SM_Blunt_Nobel,N,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_HOMING_ARROW"")"
35,EQUIP_SWORD_10,Kumomatsuru,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""35_Description"", ""Elite gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Tuner/SM_Blunt_Tuner.SM_Blunt_Tuner,UR,MELEE,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_SSR.Icon_WeaponSelectTicket_SSR,"(""SKILL_ARROW"")"
