---,BannerID,ItemType,ItemID,Rarity
58,Hero_Crescent,Hero,Pioneer_SSR,SSR
59,Hero_Crescent,Hero,Rogue_N,N
60,Hero_Crescent,Hero,Rogue_R,R
61,Hero_Crescent,Hero,Rogue_SR,SR
62,Hero_Crescent,Hero,Rogue_SSR,SSR
63,Hero_Crescent,Hero,Tinker_N,N
64,Hero_Crescent,Hero,Tinker_R,R
65,Hero_Crescent,Hero,Tinker_SR,SR
66,Hero_Crescent,Hero,Tinker_SSR,SSR
67,Hero_Crescent,Hero,Tuner_N,N
68,Hero_Crescent,Hero,Tuner_R,R
69,Hero_Crescent,Hero,Tuner_SR,SR
70,Hero_Crescent,Hero,Tuner_SSR,SSR
71,Hero_Crescent,Hero,Writer_UR,UR
72,Hero_FullMoon,Hero,Anubis_N,N
73,Hero_FullMoon,Hero,Anubis_R,R
74,Hero_FullMoon,Hero,Anubis_SR,SR
75,Hero_FullMoon,Hero,Anubis_SSR,SSR
76,Hero_FullMoon,Hero,Army_N,N
77,Hero_FullMoon,Hero,Army_R,R
78,Hero_FullMoon,Hero,Army_SR,SR
79,Hero_FullMoon,Hero,Army_SSR,SSR
80,Hero_FullMoon,Hero,Binder_N,N
81,Hero_FullMoon,Hero,Binder_R,R
82,Hero_FullMoon,Hero,Binder_SR,SR
83,Hero_FullMoon,Hero,Binder_SSR,SSR
84,Hero_FullMoon,Hero,Demonia_N,N
85,Hero_FullMoon,Hero,Demonia_R,R
86,Hero_FullMoon,Hero,Demonia_SR,SR
87,Hero_FullMoon,Hero,Demonia_SSR,SSR
88,Hero_FullMoon,Hero,Enchanter_N,N
89,Hero_FullMoon,Hero,Enchanter_R,R
90,Hero_FullMoon,Hero,Enchanter_SR,SR
91,Hero_FullMoon,Hero,Enchanter_SSR,SSR
92,Hero_FullMoon,Hero,Guard_N,N
93,Hero_FullMoon,Hero,Guard_R,R
94,Hero_FullMoon,Hero,Guard_SR,SR
95,Hero_FullMoon,Hero,Guard_SSR,SSR
96,Hero_FullMoon,Hero,Hermit_N,N
97,Hero_FullMoon,Hero,Hermit_R,R
98,Hero_FullMoon,Hero,Hermit_SR,SR
99,Hero_FullMoon,Hero,Hermit_SSR,SSR
100,Hero_FullMoon,Hero,Hornet_N,N
101,Hero_FullMoon,Hero,Hornet_R,R
102,Hero_FullMoon,Hero,Hornet_SR,SR
103,Hero_FullMoon,Hero,Hornet_SSR,SSR
104,Hero_FullMoon,Hero,Looter_N,N
105,Hero_FullMoon,Hero,Looter_R,R
106,Hero_FullMoon,Hero,Looter_SR,SR
107,Hero_FullMoon,Hero,Looter_SSR,SSR
108,Hero_FullMoon,Hero,Maid_N,N
109,Hero_FullMoon,Hero,Maid_R,R
110,Hero_FullMoon,Hero,Maid_SR,SR
111,Hero_FullMoon,Hero,Maid_SSR,SSR
112,Hero_FullMoon,Hero,Merry_N,N
113,Hero_FullMoon,Hero,Merry_R,R
114,Hero_FullMoon,Hero,Merry_SR,SR
115,Hero_FullMoon,Hero,Merry_SSR,SSR
116,Hero_FullMoon,Hero,Muzzle_UR,UR
117,Hero_FullMoon,Hero,Noble_N,N
118,Hero_FullMoon,Hero,Noble_R,R
119,Hero_FullMoon,Hero,Noble_SR,SR
120,Hero_FullMoon,Hero,Noble_SSR,SSR
121,Hero_FullMoon,Hero,Nurse_UR,UR
122,Hero_FullMoon,Hero,Outsider_N,N
123,Hero_FullMoon,Hero,Outsider_R,R
124,Hero_FullMoon,Hero,Outsider_SR,SR
125,Hero_FullMoon,Hero,Outsider_SSR,SSR
126,Hero_FullMoon,Hero,Pioneer_N,N
127,Hero_FullMoon,Hero,Pioneer_R,R
128,Hero_FullMoon,Hero,Pioneer_SR,SR
129,Hero_FullMoon,Hero,Pioneer_SSR,SSR
130,Hero_FullMoon,Hero,Rogue_N,N
131,Hero_FullMoon,Hero,Rogue_R,R
132,Hero_FullMoon,Hero,Rogue_SR,SR
133,Hero_FullMoon,Hero,Rogue_SSR,SSR
134,Hero_FullMoon,Hero,Tinker_N,N
135,Hero_FullMoon,Hero,Tinker_R,R
136,Hero_FullMoon,Hero,Tinker_SR,SR
137,Hero_FullMoon,Hero,Tinker_SSR,SSR
138,Hero_FullMoon,Hero,Tuner_N,N
139,Hero_FullMoon,Hero,Tuner_R,R
140,Hero_FullMoon,Hero,Tuner_SR,SR
141,Hero_FullMoon,Hero,Tuner_SSR,SSR
142,Hero_FullMoon,Hero,Writer_UR,UR
143,Equip_Crescent,Equipment,EQUIP_HELMET_01,UR
144,Equip_Crescent,Equipment,EQUIP_RANGED_02,SSR
145,Equip_Crescent,Equipment,EQUIP_ARMOR_03,SR
146,Equip_Crescent,Equipment,EQUIP_RANGED_04,R
147,Equip_Crescent,Equipment,EQUIP_ARMOR_05,N
148,Equip_Crescent,Equipment,EQUIP_MELEE_06,SR
149,Equip_Crescent,Equipment,EQUIP_MELEE_07,SSR
150,Equip_Crescent,Equipment,EQUIP_HELMET_08,R
151,Equip_Crescent,Equipment,EQUIP_MELEE_09,UR
152,Equip_Crescent,Equipment,EQUIP_RANGED_10,R
153,Equip_Crescent,Equipment,EQUIP_ARMOR_11,N
154,Equip_Crescent,Equipment,EQUIP_ARMOR_12,SSR
155,Equip_Crescent,Equipment,EQUIP_MELEE_13,N
156,Equip_Crescent,Equipment,EQUIP_ARMOR_14,N
157,Equip_Crescent,Equipment,EQUIP_MELEE_15,N
158,Equip_Crescent,Equipment,EQUIP_HELMET_16,N
159,Equip_Crescent,Equipment,EQUIP_HELMET_17,N
160,Equip_Crescent,Equipment,EQUIP_RANGED_18,SR
161,Equip_Crescent,Equipment,EQUIP_ARMOR_19,SSR
162,Equip_Crescent,Equipment,EQUIP_RANGED_20,N
163,Equip_Crescent,Equipment,EQUIP_ARMOR_21,N
164,Equip_Crescent,Equipment,EQUIP_MELEE_22,UR
165,Equip_Crescent,Equipment,EQUIP_MELEE_23,N
166,Equip_Crescent,Equipment,EQUIP_RANGED_24,SR
167,Equip_Crescent,Equipment,EQUIP_ARMOR_25,SSR
168,Equip_Crescent,Equipment,EQUIP_ARMOR_26,N
169,Equip_Crescent,Equipment,EQUIP_ARMOR_27,R
170,Equip_Crescent,Equipment,EQUIP_HELMET_28,SSR
171,Equip_Crescent,Equipment,EQUIP_HELMET_29,N
172,Equip_Crescent,Equipment,EQUIP_MELEE_30,N
173,Equip_Crescent,Equipment,EQUIP_ARMOR_31,UR
174,Equip_Crescent,Equipment,EQUIP_HELMET_32,R
175,Equip_Crescent,Equipment,EQUIP_ARMOR_33,N
176,Equip_Crescent,Equipment,EQUIP_RANGED_34,N
177,Equip_Crescent,Equipment,EQUIP_HELMET_35,SSR
178,Equip_Crescent,Equipment,EQUIP_HELMET_36,N
179,Equip_Crescent,Equipment,EQUIP_ARMOR_37,R
180,Equip_Crescent,Equipment,EQUIP_MELEE_38,SR
181,Equip_Crescent,Equipment,EQUIP_HELMET_39,UR
182,Equip_Crescent,Equipment,EQUIP_HELMET_40,N
183,Equip_Crescent,Equipment,EQUIP_RANGED_41,SR
184,Equip_Crescent,Equipment,EQUIP_RANGED_42,N
185,Equip_Crescent,Equipment,EQUIP_HELMET_43,UR
186,Equip_Crescent,Equipment,EQUIP_MELEE_44,N
187,Equip_Crescent,Equipment,EQUIP_HELMET_45,SR
188,Equip_Crescent,Equipment,EQUIP_ARMOR_46,R
189,Equip_Crescent,Equipment,EQUIP_RANGED_47,SSR
190,Equip_Crescent,Equipment,EQUIP_MELEE_48,N
191,Equip_Crescent,Equipment,EQUIP_MELEE_49,N
192,Equip_Crescent,Equipment,EQUIP_RANGED_50,R
193,Equip_FullMoon,Equipment,EQUIP_HELMET_01,UR
194,Equip_FullMoon,Equipment,EQUIP_RANGED_02,SSR
195,Equip_FullMoon,Equipment,EQUIP_ARMOR_03,SR
196,Equip_FullMoon,Equipment,EQUIP_RANGED_04,R
197,Equip_FullMoon,Equipment,EQUIP_ARMOR_05,N
198,Equip_FullMoon,Equipment,EQUIP_MELEE_06,SR
199,Equip_FullMoon,Equipment,EQUIP_MELEE_07,SSR
200,Equip_FullMoon,Equipment,EQUIP_HELMET_08,R
201,Equip_FullMoon,Equipment,EQUIP_MELEE_09,UR
202,Equip_FullMoon,Equipment,EQUIP_RANGED_10,R
203,Equip_FullMoon,Equipment,EQUIP_ARMOR_11,N
204,Equip_FullMoon,Equipment,EQUIP_ARMOR_12,SSR
205,Equip_FullMoon,Equipment,EQUIP_MELEE_13,N
206,Equip_FullMoon,Equipment,EQUIP_ARMOR_14,N
207,Equip_FullMoon,Equipment,EQUIP_MELEE_15,N
208,Equip_FullMoon,Equipment,EQUIP_HELMET_16,N
209,Equip_FullMoon,Equipment,EQUIP_HELMET_17,N
210,Equip_FullMoon,Equipment,EQUIP_RANGED_18,SR
211,Equip_FullMoon,Equipment,EQUIP_ARMOR_19,SSR
212,Equip_FullMoon,Equipment,EQUIP_RANGED_20,N
213,Equip_FullMoon,Equipment,EQUIP_ARMOR_21,N
214,Equip_FullMoon,Equipment,EQUIP_MELEE_22,UR
215,Equip_FullMoon,Equipment,EQUIP_MELEE_23,N
216,Equip_FullMoon,Equipment,EQUIP_RANGED_24,SR
217,Equip_FullMoon,Equipment,EQUIP_ARMOR_25,SSR
218,Equip_FullMoon,Equipment,EQUIP_ARMOR_26,N
219,Equip_FullMoon,Equipment,EQUIP_ARMOR_27,R
220,Equip_FullMoon,Equipment,EQUIP_HELMET_28,SSR
221,Equip_FullMoon,Equipment,EQUIP_HELMET_29,N
222,Equip_FullMoon,Equipment,EQUIP_MELEE_30,N
223,Equip_FullMoon,Equipment,EQUIP_ARMOR_31,UR
224,Equip_FullMoon,Equipment,EQUIP_HELMET_32,R
225,Equip_FullMoon,Equipment,EQUIP_ARMOR_33,N
226,Equip_FullMoon,Equipment,EQUIP_RANGED_34,N
227,Equip_FullMoon,Equipment,EQUIP_HELMET_35,SSR
228,Equip_FullMoon,Equipment,EQUIP_HELMET_36,N
229,Equip_FullMoon,Equipment,EQUIP_ARMOR_37,R
230,Equip_FullMoon,Equipment,EQUIP_MELEE_38,SR
231,Equip_FullMoon,Equipment,EQUIP_HELMET_39,UR
232,Equip_FullMoon,Equipment,EQUIP_HELMET_40,N
233,Equip_FullMoon,Equipment,EQUIP_RANGED_41,SR
234,Equip_FullMoon,Equipment,EQUIP_RANGED_42,N
235,Equip_FullMoon,Equipment,EQUIP_HELMET_43,UR
236,Equip_FullMoon,Equipment,EQUIP_MELEE_44,N
237,Equip_FullMoon,Equipment,EQUIP_HELMET_45,SR
238,Equip_FullMoon,Equipment,EQUIP_ARMOR_46,R
239,Equip_FullMoon,Equipment,EQUIP_RANGED_47,SSR
240,Equip_FullMoon,Equipment,EQUIP_MELEE_48,N
241,Equip_FullMoon,Equipment,EQUIP_MELEE_49,N
242,Equip_FullMoon,Equipment,EQUIP_RANGED_50,R
