---,CharacterName,IntroVoice,AttackGrunts,Skill1Voice,Skill2Voice,HealVoice,HitVoices,DeathVoice,LowHPVoice,VictoryVoice,DefeatVoice,FootstepSounds,BodyFallSound,SummonSound
11,Merry,/Game/SFX/Character/13_Marry/Merry_intro.Merry_intro,"(""/Game/SFX/Character/13_Marry/Merry_shout_001.Merry_shout_001"",""/Game/SFX/Character/13_Marry/Merry_shout_002.Merry_shout_002"")",/Game/SFX/Character/13_Marry/Merry_skill1.Merry_skill1,/Game/SFX/Character/13_Marry/Merry_skill2.Merry_skill2,/Game/SFX/Character/13_Marry/Merry_heal.Merry_heal,"(""/Game/SFX/Character/13_Marry/Merry_hit_001.Merry_hit_001"",""/Game/SFX/Character/13_Marry/Merry_hit_002.Merry_hit_002"",""/Game/SFX/Character/13_Marry/Merry_hit_003.Merry_hit_003"")",/Game/SFX/Character/13_Marry/Merry_death.Merry_death,/Game/SFX/Character/13_Marry/Merry_lowhp.Merry_lowhp,/Game/SFX/Character/13_Marry/Merry_win_2.Merry_win_2,/Game/SFX/Character/13_Marry/Merry_defeat.Merry_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
12,Muzzle,/Game/SFX/Character/14_Muzzle/Muzzle_intro.Muzzle_intro,"(""/Game/SFX/Character/14_Muzzle/Muzzle_shout_001.Muzzle_shout_001"",""/Game/SFX/Character/14_Muzzle/Muzzle_shout_002.Muzzle_shout_002"")",/Game/SFX/Character/14_Muzzle/Muzzle_skill1.Muzzle_skill1,/Game/SFX/Character/14_Muzzle/Muzzle_skill2.Muzzle_skill2,/Game/SFX/Character/14_Muzzle/Muzzle_heal.Muzzle_heal,"(""/Game/SFX/Character/14_Muzzle/Muzzle_hit_001.Muzzle_hit_001"",""/Game/SFX/Character/14_Muzzle/Muzzle_hit_002.Muzzle_hit_002"",""/Game/SFX/Character/14_Muzzle/Muzzle_hit_003.Muzzle_hit_003"")",/Game/SFX/Character/14_Muzzle/Muzzle_death.Muzzle_death,/Game/SFX/Character/14_Muzzle/Muzzle_lowhp.Muzzle_lowhp,/Game/SFX/Character/14_Muzzle/Muzzle_win.Muzzle_win,/Game/SFX/Character/14_Muzzle/Muzzle_defeat.Muzzle_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
13,Noble,/Game/SFX/Character/15_Noble/Noble_intro.Noble_intro,"(""/Game/SFX/Character/15_Noble/Noble_shout_001.Noble_shout_001"",""/Game/SFX/Character/15_Noble/Noble_shout_002.Noble_shout_002"")",/Game/SFX/Character/15_Noble/Noble_skill1.Noble_skill1,/Game/SFX/Character/15_Noble/Noble_skill2.Noble_skill2,/Game/SFX/Character/15_Noble/Noble_heal.Noble_heal,"(""/Game/SFX/Character/15_Noble/Noble_hit_001.Noble_hit_001"",""/Game/SFX/Character/15_Noble/Noble_hit_002.Noble_hit_002"",""/Game/SFX/Character/15_Noble/Noble_hit_003.Noble_hit_003"")",/Game/SFX/Character/15_Noble/Noble_death.Noble_death,/Game/SFX/Character/15_Noble/Noble_lowhp.Noble_lowhp,/Game/SFX/Character/15_Noble/Noble_win.Noble_win,/Game/SFX/Character/15_Noble/Noble_defeat.Noble_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
14,Outsider,/Game/SFX/Character/17_Outsider/Outsider_intro.Outsider_intro,"(""/Game/SFX/Character/17_Outsider/Outsider_shout_001.Outsider_shout_001"",""/Game/SFX/Character/17_Outsider/Outsider_shout_002.Outsider_shout_002"")",/Game/SFX/Character/17_Outsider/Outsider_skill1.Outsider_skill1,/Game/SFX/Character/17_Outsider/Outsider_skill2.Outsider_skill2,/Game/SFX/Character/17_Outsider/Outsider_heal.Outsider_heal,"(""/Game/SFX/Character/17_Outsider/Outsider_hit_001.Outsider_hit_001"",""/Game/SFX/Character/17_Outsider/Outsider_hit_002.Outsider_hit_002"",""/Game/SFX/Character/17_Outsider/Outsider_hit_003.Outsider_hit_003"")",/Game/SFX/Character/17_Outsider/Outsider_death.Outsider_death,/Game/SFX/Character/17_Outsider/Outsider_lowhp.Outsider_lowhp,/Game/SFX/Character/17_Outsider/Outsider_win.Outsider_win,/Game/SFX/Character/17_Outsider/Outsider_defeat.Outsider_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
15,Pioneer,/Game/SFX/Character/18_Pioneer/Pioneer_intro.Pioneer_intro,"(""/Game/SFX/Character/18_Pioneer/Pioneer_shout_001.Pioneer_shout_001"",""/Game/SFX/Character/18_Pioneer/Pioneer_shout_002.Pioneer_shout_002"")",/Game/SFX/Character/18_Pioneer/Pioneer_skill1.Pioneer_skill1,/Game/SFX/Character/18_Pioneer/Pioneer_skill2.Pioneer_skill2,/Game/SFX/Character/18_Pioneer/Pioneer_heal_full.Pioneer_heal_full,"(""/Game/SFX/Character/18_Pioneer/Pioneer_hit_001.Pioneer_hit_001"",""/Game/SFX/Character/18_Pioneer/Pioneer_hit_002.Pioneer_hit_002"",""/Game/SFX/Character/18_Pioneer/Pioneer_hit_003.Pioneer_hit_003"")",/Game/SFX/Character/18_Pioneer/Pioneer_death.Pioneer_death,/Game/SFX/Character/18_Pioneer/Pioneer_lowhp.Pioneer_lowhp,/Game/SFX/Character/18_Pioneer/Pioneer_win.Pioneer_win,/Game/SFX/Character/18_Pioneer/Pioneer_defeat.Pioneer_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
16,Rogue,/Game/SFX/Character/19_Rogue/Rogue_intro.Rogue_intro,"(""/Game/SFX/Character/19_Rogue/Rogue_shout_001.Rogue_shout_001"",""/Game/SFX/Character/19_Rogue/Rogue_shout_002.Rogue_shout_002"")",/Game/SFX/Character/19_Rogue/Rogue_skill1.Rogue_skill1,/Game/SFX/Character/19_Rogue/Rogue_skill2.Rogue_skill2,/Game/SFX/Character/19_Rogue/Rogue_heal.Rogue_heal,"(""/Game/SFX/Character/19_Rogue/Rogue_hit_001.Rogue_hit_001"",""/Game/SFX/Character/19_Rogue/Rogue_hit_002.Rogue_hit_002"",""/Game/SFX/Character/19_Rogue/Rogue_hit_003.Rogue_hit_003"")",/Game/SFX/Character/19_Rogue/Rogue_death.Rogue_death,/Game/SFX/Character/19_Rogue/Rogue_lowhp.Rogue_lowhp,/Game/SFX/Character/19_Rogue/Rogue_win.Rogue_win,/Game/SFX/Character/19_Rogue/Rogue_defeat.Rogue_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
17,Tinker,/Game/SFX/Character/20_Tinker/Tinker_intro.Tinker_intro,"(""/Game/SFX/Character/20_Tinker/Tinker_shout_001.Tinker_shout_001"",""/Game/SFX/Character/20_Tinker/Tinker_shout_002.Tinker_shout_002"")",/Game/SFX/Character/20_Tinker/Tinker_skill1.Tinker_skill1,/Game/SFX/Character/20_Tinker/Tinker_skill2.Tinker_skill2,/Game/SFX/Character/20_Tinker/Tinker_heal.Tinker_heal,"(""/Game/SFX/Character/20_Tinker/Tinker_hit_001.Tinker_hit_001"",""/Game/SFX/Character/20_Tinker/Tinker_hit_002.Tinker_hit_002"",""/Game/SFX/Character/20_Tinker/Tinker_hit_003.Tinker_hit_003"")",/Game/SFX/Character/20_Tinker/Tinker_death.Tinker_death,/Game/SFX/Character/20_Tinker/Tinker_lowhp.Tinker_lowhp,/Game/SFX/Character/20_Tinker/Tinker_win.Tinker_win,/Game/SFX/Character/20_Tinker/Tinker_defeat.Tinker_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
18,Tuner,/Game/SFX/Character/21_Tuner/Tuner_intro.Tuner_intro,"(""/Game/SFX/Character/21_Tuner/Tuner_shout_001.Tuner_shout_001"",""/Game/SFX/Character/21_Tuner/Tuner_shout_002.Tuner_shout_002"")",/Game/SFX/Character/21_Tuner/Tuner_skill1.Tuner_skill1,/Game/SFX/Character/21_Tuner/Tuner_skill2.Tuner_skill2,/Game/SFX/Character/21_Tuner/Tuner_heal.Tuner_heal,"(""/Game/SFX/Character/21_Tuner/Tuner_hit_001.Tuner_hit_001"",""/Game/SFX/Character/21_Tuner/Tuner_hit_002.Tuner_hit_002"",""/Game/SFX/Character/21_Tuner/Tuner_hit_003.Tuner_hit_003"")",/Game/SFX/Character/21_Tuner/Tuner_death.Tuner_death,/Game/SFX/Character/21_Tuner/Tuner_lowhp.Tuner_lowhp,/Game/SFX/Character/21_Tuner/Tuner_win.Tuner_win,/Game/SFX/Character/21_Tuner/Tuner_defeat.Tuner_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
19,Nurse,/Game/SFX/Character/16_Nurse/Nurse_Intro.Nurse_Intro,"(""/Game/SFX/Character/16_Nurse/Nurse_shout_001.Nurse_shout_001"",""/Game/SFX/Character/16_Nurse/Nurse_shout_002.Nurse_shout_002"")",/Game/SFX/Character/16_Nurse/Nurse_skill1.Nurse_skill1,/Game/SFX/Character/16_Nurse/Nurse_Intro.Nurse_Intro,/Game/SFX/Character/16_Nurse/Nurse_heal_full.Nurse_heal_full,"(""/Game/SFX/Character/16_Nurse/Nurse_hit_001.Nurse_hit_001"",""/Game/SFX/Character/16_Nurse/Nurse_hit_002.Nurse_hit_002"",""/Game/SFX/Character/16_Nurse/Nurse_hit_003.Nurse_hit_003"")",/Game/SFX/Character/16_Nurse/Nurse_death.Nurse_death,/Game/SFX/Character/16_Nurse/Nurse_lowhp.Nurse_lowhp,/Game/SFX/Character/16_Nurse/Nurse_win.Nurse_win,/Game/SFX/Character/16_Nurse/Nurse_defeat.Nurse_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
20,Writer,/Game/SFX/Character/22_Writer/Writer_Spawn.Writer_Spawn,"(""/Game/SFX/Character/22_Writer/Writer_shout_001.Writer_shout_001"",""/Game/SFX/Character/22_Writer/Writer_shout_002.Writer_shout_002"")",/Game/SFX/Character/22_Writer/Writer_skill1.Writer_skill1,/Game/SFX/Character/22_Writer/Writer_skill2.Writer_skill2,/Game/SFX/Character/22_Writer/Writer_heal.Writer_heal,"(""/Game/SFX/Character/22_Writer/Writer_hit_001.Writer_hit_001"",""/Game/SFX/Character/22_Writer/Writer_hit_002.Writer_hit_002"",""/Game/SFX/Character/22_Writer/Writer_hit_003.Writer_hit_003"",""/Game/SFX/Character/22_Writer/Writer_hit_004.Writer_hit_004"")",/Game/SFX/Character/22_Writer/Writer_death.Writer_death,/Game/SFX/Character/22_Writer/Writer_death_partneralive_2.Writer_death_partneralive_2,/Game/SFX/Character/22_Writer/Writer_win_2.Writer_win_2,/Game/SFX/Character/22_Writer/Writer_death_gameover.Writer_death_gameover,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
