---,RevealSFX,ColorRevealSFX,ItemID,ItemType,BackgroundTexture,RevealTexture,ResultSlotTexture,bUseVideo,RevealVideoSource
HeroReveal_026,"None","/Game/SFX/Gacha/Hermit_special.Hermit_special","Hermit_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Hermit.Hermit","/Game/Test/PYI/Gacha/Reveal/Characters/Hermit.Hermit","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hermit.Icon_Hermit","False","None"
HeroReveal_027,"None","/Game/SFX/Gacha/Hermit_special.Hermit_special","Hermit_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Hermit.Hermit","/Game/Test/PYI/Gacha/Reveal/Characters/Hermit.Hermit","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hermit.Icon_Hermit","False","None"
HeroReveal_028,"None","/Game/SFX/Gacha/Hermit_special.Hermit_special","Hermit_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Hermit.Hermit","/Game/Test/PYI/Gacha/Reveal/Characters/Hermit.Hermit","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hermit.Icon_Hermit","False","None"
HeroReveal_029,"None","/Game/SFX/Gacha/Hornet_special.Hornet_special","Hornet_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Hornet.Hornet","/Game/Test/PYI/Gacha/Reveal/Characters/Hornet.Hornet","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hornet.Icon_Hornet","False","None"
HeroReveal_030,"None","/Game/SFX/Gacha/Hornet_special.Hornet_special","Hornet_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Hornet.Hornet","/Game/Test/PYI/Gacha/Reveal/Characters/Hornet.Hornet","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hornet.Icon_Hornet","False","None"
HeroReveal_031,"None","/Game/SFX/Gacha/Hornet_special.Hornet_special","Hornet_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Hornet.Hornet","/Game/Test/PYI/Gacha/Reveal/Characters/Hornet.Hornet","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hornet.Icon_Hornet","False","None"
HeroReveal_032,"None","/Game/SFX/Gacha/Hornet_special.Hornet_special","Hornet_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Hornet.Hornet","/Game/Test/PYI/Gacha/Reveal/Characters/Hornet.Hornet","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hornet.Icon_Hornet","False","None"
HeroReveal_033,"None","/Game/SFX/Gacha/Looter_special.Looter_special","Looter_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Looter.Looter","/Game/Test/PYI/Gacha/Reveal/Characters/Looter.Looter","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Looter.Icon_Looter","False","None"
HeroReveal_034,"None","/Game/SFX/Gacha/Looter_special.Looter_special","Looter_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Looter.Looter","/Game/Test/PYI/Gacha/Reveal/Characters/Looter.Looter","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Looter.Icon_Looter","False","None"
HeroReveal_035,"None","/Game/SFX/Gacha/Looter_special.Looter_special","Looter_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Looter.Looter","/Game/Test/PYI/Gacha/Reveal/Characters/Looter.Looter","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Looter.Icon_Looter","False","None"
HeroReveal_036,"None","/Game/SFX/Gacha/Looter_special.Looter_special","Looter_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Looter.Looter","/Game/Test/PYI/Gacha/Reveal/Characters/Looter.Looter","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Looter.Icon_Looter","False","None"
HeroReveal_037,"None","/Game/SFX/Gacha/Maid_special.Maid_special","Maid_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Maid.Maid","/Game/Test/PYI/Gacha/Reveal/Characters/Maid.Maid","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Maid.Icon_Maid","False","None"
HeroReveal_038,"None","/Game/SFX/Gacha/Maid_special.Maid_special","Maid_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Maid.Maid","/Game/Test/PYI/Gacha/Reveal/Characters/Maid.Maid","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Maid.Icon_Maid","False","None"
HeroReveal_039,"None","/Game/SFX/Gacha/Maid_special.Maid_special","Maid_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Maid.Maid","/Game/Test/PYI/Gacha/Reveal/Characters/Maid.Maid","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Maid.Icon_Maid","False","None"
HeroReveal_040,"None","/Game/SFX/Gacha/Maid_special.Maid_special","Maid_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Maid.Maid","/Game/Test/PYI/Gacha/Reveal/Characters/Maid.Maid","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Maid.Icon_Maid","False","None"
HeroReveal_041,"None","/Game/SFX/Gacha/Merry_special.Merry_special","Merry_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Merry.Merry","/Game/Test/PYI/Gacha/Reveal/Characters/Merry.Merry","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Merry.Icon_Merry","False","None"
HeroReveal_042,"None","/Game/SFX/Gacha/Merry_special.Merry_special","Merry_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Merry.Merry","/Game/Test/PYI/Gacha/Reveal/Characters/Merry.Merry","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Merry.Icon_Merry","False","None"
HeroReveal_043,"None","/Game/SFX/Gacha/Merry_special.Merry_special","Merry_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Merry.Merry","/Game/Test/PYI/Gacha/Reveal/Characters/Merry.Merry","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Merry.Icon_Merry","False","None"
HeroReveal_044,"None","/Game/SFX/Gacha/Merry_special.Merry_special","Merry_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Merry.Merry","/Game/Test/PYI/Gacha/Reveal/Characters/Merry.Merry","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Merry.Icon_Merry","False","None"
HeroReveal_045,"None","/Game/SFX/Gacha/Muzzle_special.Muzzle_special","Muzzle_UR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Muzzle.Muzzle","/Game/Test/PYI/Gacha/Reveal/Characters/Muzzle.Muzzle","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Muzzle.Icon_Muzzle","False","None"
HeroReveal_046,"None","/Game/SFX/Gacha/Noble_special.Noble_special","Noble_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Noble.Noble","/Game/Test/PYI/Gacha/Reveal/Characters/Noble.Noble","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Noble.Icon_Noble","False","None"
HeroReveal_047,"None","/Game/SFX/Gacha/Noble_special.Noble_special","Noble_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Noble.Noble","/Game/Test/PYI/Gacha/Reveal/Characters/Noble.Noble","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Noble.Icon_Noble","False","None"
HeroReveal_048,"None","/Game/SFX/Gacha/Noble_special.Noble_special","Noble_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Noble.Noble","/Game/Test/PYI/Gacha/Reveal/Characters/Noble.Noble","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Noble.Icon_Noble","False","None"
HeroReveal_049,"None","/Game/SFX/Gacha/Noble_special.Noble_special","Noble_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Noble.Noble","/Game/Test/PYI/Gacha/Reveal/Characters/Noble.Noble","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Noble.Icon_Noble","False","None"
HeroReveal_050,"None","/Game/SFX/Gacha/Nurse_special.Nurse_special","Nurse_UR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Nurse.Nurse","/Game/Test/PYI/Gacha/Reveal/Characters/Nurse.Nurse","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Nurse.Icon_Nurse","False","None"
HeroReveal_051,"None","/Game/SFX/Gacha/Outsider_special.Outsider_special","Outsider_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Outsider.Outsider","/Game/Test/PYI/Gacha/Reveal/Characters/Outsider.Outsider","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Outsider.Icon_Outsider","False","None"
HeroReveal_052,"None","/Game/SFX/Gacha/Outsider_special.Outsider_special","Outsider_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Outsider.Outsider","/Game/Test/PYI/Gacha/Reveal/Characters/Outsider.Outsider","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Outsider.Icon_Outsider","False","None"
HeroReveal_053,"None","/Game/SFX/Gacha/Outsider_special.Outsider_special","Outsider_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Outsider.Outsider","/Game/Test/PYI/Gacha/Reveal/Characters/Outsider.Outsider","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Outsider.Icon_Outsider","False","None"
HeroReveal_054,"None","/Game/SFX/Gacha/Outsider_special.Outsider_special","Outsider_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Outsider.Outsider","/Game/Test/PYI/Gacha/Reveal/Characters/Outsider.Outsider","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Outsider.Icon_Outsider","False","None"
HeroReveal_055,"None","/Game/SFX/Gacha/Pioneer_special.Pioneer_special","Pioneer_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Pioneer.Pioneer","/Game/Test/PYI/Gacha/Reveal/Characters/Pioneer.Pioneer","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Pioneer.Icon_Pioneer","False","None"
HeroReveal_056,"None","/Game/SFX/Gacha/Pioneer_special.Pioneer_special","Pioneer_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Pioneer.Pioneer","/Game/Test/PYI/Gacha/Reveal/Characters/Pioneer.Pioneer","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Pioneer.Icon_Pioneer","False","None"
HeroReveal_057,"None","/Game/SFX/Gacha/Pioneer_special.Pioneer_special","Pioneer_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Pioneer.Pioneer","/Game/Test/PYI/Gacha/Reveal/Characters/Pioneer.Pioneer","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Pioneer.Icon_Pioneer","False","None"
HeroReveal_058,"None","/Game/SFX/Gacha/Pioneer_special.Pioneer_special","Pioneer_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Pioneer.Pioneer","/Game/Test/PYI/Gacha/Reveal/Characters/Pioneer.Pioneer","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Pioneer.Icon_Pioneer","False","None"
HeroReveal_059,"None","/Game/SFX/Gacha/Rogue_special.Rogue_special","Rogue_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Rogue.Rogue","/Game/Test/PYI/Gacha/Reveal/Characters/Rogue.Rogue","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Rogue.Icon_Rogue","False","None"
HeroReveal_060,"None","/Game/SFX/Gacha/Rogue_special.Rogue_special","Rogue_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Rogue.Rogue","/Game/Test/PYI/Gacha/Reveal/Characters/Rogue.Rogue","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Rogue.Icon_Rogue","False","None"
HeroReveal_061,"None","/Game/SFX/Gacha/Rogue_special.Rogue_special","Rogue_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Rogue.Rogue","/Game/Test/PYI/Gacha/Reveal/Characters/Rogue.Rogue","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Rogue.Icon_Rogue","False","None"
HeroReveal_062,"None","/Game/SFX/Gacha/Rogue_special.Rogue_special","Rogue_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Rogue.Rogue","/Game/Test/PYI/Gacha/Reveal/Characters/Rogue.Rogue","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Rogue.Icon_Rogue","False","None"
HeroReveal_063,"None","/Game/SFX/Gacha/Tinker_special.Tinker_special","Tinker_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Tinker.Tinker","/Game/Test/PYI/Gacha/Reveal/Characters/Tinker.Tinker","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tinker.Icon_Tinker","False","None"
HeroReveal_064,"None","/Game/SFX/Gacha/Tinker_special.Tinker_special","Tinker_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Tinker.Tinker","/Game/Test/PYI/Gacha/Reveal/Characters/Tinker.Tinker","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tinker.Icon_Tinker","False","None"
HeroReveal_065,"None","/Game/SFX/Gacha/Tinker_special.Tinker_special","Tinker_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Tinker.Tinker","/Game/Test/PYI/Gacha/Reveal/Characters/Tinker.Tinker","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tinker.Icon_Tinker","False","None"
HeroReveal_066,"None","/Game/SFX/Gacha/Tinker_special.Tinker_special","Tinker_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Tinker.Tinker","/Game/Test/PYI/Gacha/Reveal/Characters/Tinker.Tinker","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tinker.Icon_Tinker","False","None"
HeroReveal_067,"None","/Game/SFX/Gacha/Tuner_special.Tuner_special","Tuner_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Tuner.Tuner","/Game/Test/PYI/Gacha/Reveal/Characters/Tuner.Tuner","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tuner.Icon_Tuner","False","None"
HeroReveal_068,"None","/Game/SFX/Gacha/Tuner_special.Tuner_special","Tuner_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Tuner.Tuner","/Game/Test/PYI/Gacha/Reveal/Characters/Tuner.Tuner","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tuner.Icon_Tuner","False","None"
HeroReveal_069,"None","/Game/SFX/Gacha/Tuner_special.Tuner_special","Tuner_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Tuner.Tuner","/Game/Test/PYI/Gacha/Reveal/Characters/Tuner.Tuner","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tuner.Icon_Tuner","False","None"
HeroReveal_070,"None","/Game/SFX/Gacha/Tuner_special.Tuner_special","Tuner_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Tuner.Tuner","/Game/Test/PYI/Gacha/Reveal/Characters/Tuner.Tuner","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tuner.Icon_Tuner","False","None"
HeroReveal_071,"None","/Game/SFX/Gacha/Writer_special.Writer_special","Writer_UR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Writer.Writer","/Game/Test/PYI/Gacha/Reveal/Characters/Writer.Writer","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Writer.Icon_Writer","False","None"
EquipReveal_072,"None","None","EQUIP_HELMET_01","Equipment","/Game/Test/PYI/Gacha/Reveal/Backgrounds/UR_Equipment.UR_Equipment","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_UR.Icon_WeaponRandomTicket_UR","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_UR.Icon_WeaponRandomTicket_UR","False","None"
EquipReveal_073,"None","None","EQUIP_RANGED_02","Equipment","/Game/Test/PYI/Gacha/Reveal/Backgrounds/SSR_Equipment.SSR_Equipment","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_SSR.Icon_WeaponSelectTicket_SSR","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_SSR.Icon_WeaponSelectTicket_SSR","False","None"
EquipReveal_074,"None","None","EQUIP_ARMOR_03","Equipment","/Game/Test/PYI/Gacha/Reveal/Backgrounds/SR_Equipment.SR_Equipment","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_SR.Icon_WeaponRandomTicket_SR","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_SR.Icon_WeaponRandomTicket_SR","False","None"
EquipReveal_075,"None","None","EQUIP_RANGED_04","Equipment","/Game/Test/PYI/Gacha/Reveal/Backgrounds/R_Equipment.R_Equipment","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_R.Icon_WeaponSelectTicket_R","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_R.Icon_WeaponSelectTicket_R","False","None"
EquipReveal_076,"None","None","EQUIP_ARMOR_05","Equipment","/Game/Test/PYI/Gacha/Reveal/Backgrounds/N_Equipment.N_Equipment","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N","False","None"
EquipReveal_077,"None","None","EQUIP_MELEE_06","Equipment","/Game/Test/PYI/Gacha/Reveal/Backgrounds/SR_Equipment.SR_Equipment","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_SR.Icon_WeaponRandomTicket_SR","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_SR.Icon_WeaponRandomTicket_SR","False","None"
